date,u_t,C_fee,base_fee_gwei,G_eff,gas_price_gwei,S_t,S_regime,l1_tx_count,l2_tx_total,A_t,arbitrum_tx_count,A_arbitrum,optimism_tx_count,A_optimism,base_tx_count,A_base,P_calldata_bytes,P_calldata_mb,eth_close_usd,eth_return_1d,eth_return_1d_log,eth_volatility_30d,eth_price_log,regime_pre_london,regime_post_london,regime_post_merge,regime_post_dencun,weekday,is_weekend,day_of_month,is_month_end,D_star_lite,D_star_lite_evr,D_eth_return,D_cex_volume,D_trends
2015-08-07,,,,27.12797210059138,604684154870.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,7,False,,,,,
2015-08-08,,,,26.500031002020688,322713574989.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,8,False,,,,,
2015-08-09,,,,26.887563587305728,475467129048.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,9,False,,,,,
2015-08-10,,,,26.767453054001045,421654904254.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,10,False,,,,,
2015-08-11,,,,25.07790610464229,77838819162.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,11,False,,,,,
2015-08-12,,,,26.821120722037886,444902379011.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,12,False,,,,,
2015-08-13,,,,26.31679985161456,268683475202.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,13,False,,,,,
2015-08-14,,,,25.98831332013467,193455494453.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,14,False,,,,,
2015-08-15,,,,25.69563792397622,144368937208.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,15,False,,,,,
2015-08-16,,,,25.518561163339054,120940093311.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,16,False,,,,,
2015-08-17,,,,25.60720342763727,132149993345.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,17,False,,,,,
2015-08-18,,,,25.710380096051832,146513014268.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,18,False,,,,,
2015-08-19,,,,25.99412644264727,194583349948.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,19,False,,,,,
2015-08-20,,,,25.318504698190818,99011782801.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,20,False,,,,,
2015-08-21,,,,25.099568718415732,79543407701.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,21,False,,,,,
2015-08-22,,,,27.038336876877867,552841333007.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,22,False,,,,,
2015-08-23,,,,25.019727540831887,73439482806.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,23,False,,,,,
2015-08-24,,,,25.249499029704214,92409814705.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,24,False,,,,,
2015-08-25,,,,25.059671684637863,76432335617.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,25,False,,,,,
2015-08-26,,,,24.825597757605145,60481160549.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,26,False,,,,,
2015-08-27,,,,24.805994730369214,59307091958.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,27,False,,,,,
2015-08-28,,,,25.254573176650364,92879907335.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,28,True,,,,,
2015-08-29,,,,24.752379917508136,56211090684.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,29,True,,,,,
2015-08-30,,,,24.73342220519023,55155494457.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,30,True,,,,,
2015-08-31,,,,24.790984412284367,58423521569.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,31,True,,,,,
2015-09-01,,,,24.760538151945525,56671549652.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,1,False,,,,,
2015-09-02,,,,24.804924461870538,59243651401.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,2,False,,,,,
2015-09-03,,,,24.731534647272458,55051483461.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,3,False,,,,,
